1,1.5,0.087941,0.053225,0,1
2,2.5,0.28076,0.082216,0,1
3,3.5,0.3569,0.1423,0,1
4,4.5,0.33441,0.11405,0,1
5,6,0.34171,0.094318,0,1
6,7.5,0.37621,0.097125,0,1
7,8.5,0.33359,0.089743,0,1
8,10,0.35155,0.083057,0,2
9,11.5,0.36601,0.090436,0,2
10,12.5,0.36968,0.086736,0,2
11,14,0.4196,0.076942,0,2
12,16,0.45487,0.077181,0,2
13,18,0.50626,0.062887,0,2
14,20.5,0.58832,0.047311,0,3
15,23.5,0.68912,0.04058,0,3
16,27,0.73085,0.035875,0,3
17,33,0.82584,0.039581,0,3
18,51.5,0.91736,0.034926,0,3
19,95.5,0.92928,0.019042,0,3
20,152.5,0.92728,0.018945,0,3
1,1.5,0,NaN,1,1
2,2.5,0.010188,0.016713,1,1
3,3.5,0.037852,0.03248,1,1
4,4.5,0.051786,0.034279,1,1
5,6,0.074708,0.038199,1,1
6,7.5,0.11049,0.048719,1,1
7,8.5,0.10634,0.054854,1,1
8,10,0.11158,0.033563,1,2
9,11.5,0.12141,0.0423,1,2
10,12.5,0.1543,0.05467,1,2
11,14,0.18425,0.041523,1,2
12,16,0.22475,0.049348,1,2
13,18,0.2875,0.04397,1,2
14,20.5,0.4015,0.042568,1,3
15,23.5,0.48353,0.044478,1,3
16,27,0.52082,0.042743,1,3
17,33,0.63182,0.04521,1,3
18,51.5,0.76429,0.037284,1,3
19,95.5,0.91659,0.019743,1,3
20,152.5,0.88287,0.021125,1,3
